Month,Year,Team A,Team B,Ground,Won,Team A Won,Trim Team A,Trim Team B
July,2008,India ,Sri Lanka,National Stadium,Sri Lanka ,0,India,Sri Lanka
January,2008,South Africa ,West Indies,Newlands,South Africa ,1,South Africa,West Indies
April,2008,West Indies ,Sri Lanka,Queen's Park Oval,West Indies ,1,West Indies,Sri Lanka
April,2008,West Indies ,Sri Lanka,Queen's Park Oval,West Indies ,1,West Indies,Sri Lanka
August,2008,Sri Lanka ,India,R Premadasa Stadium,India ,0,Sri Lanka,India
August,2008,Sri Lanka ,India,R Premadasa Stadium,India ,0,Sri Lanka,India
August,2008,Sri Lanka ,India,R Premadasa Stadium,Sri Lanka ,1,Sri Lanka,India
August,2008,Sri Lanka ,India,Rangiri Dambulla International Stadium,India ,0,Sri Lanka,India
August,2008,Sri Lanka ,India,Rangiri Dambulla International Stadium,Sri Lanka ,1,Sri Lanka,India
June,2008,England ,New Zealand,Riverside Ground,England ,1,England,New Zealand
February,2008,New Zealand ,England,Seddon Park,New Zealand ,1,New Zealand,England
November,2008,South Africa ,Bangladesh,Senwes Park,South Africa ,1,South Africa,Bangladesh
November,2008,Pakistan ,West Indies,Sheikh Zayed Stadium,Pakistan ,1,Pakistan,West Indies
November,2008,Pakistan ,West Indies,Sheikh Zayed Stadium,Pakistan ,1,Pakistan,West Indies
November,2008,Pakistan ,West Indies,Sheikh Zayed Stadium,Pakistan ,1,Pakistan,West Indies
October,2008,Bangladesh ,New Zealand,Shere Bangla National Stadium,Bangladesh ,1,Bangladesh,New Zealand
June,2008,India ,Pakistan,Shere Bangla National Stadium,India ,1,India,Pakistan
June,2008,Bangladesh ,India,Shere Bangla National Stadium,India ,0,Bangladesh,India
October,2008,Bangladesh ,New Zealand,Shere Bangla National Stadium,New Zealand ,0,Bangladesh,New Zealand
June,2008,Bangladesh ,Pakistan,Shere Bangla National Stadium,Pakistan ,0,Bangladesh,Pakistan
June,2008,India ,Pakistan,Shere Bangla National Stadium,Pakistan ,0,India,Pakistan
March,2008,Bangladesh ,South Africa,Shere Bangla National Stadium,South Africa ,0,Bangladesh,South Africa
March,2008,Bangladesh ,South Africa,Shere Bangla National Stadium,South Africa ,0,Bangladesh,South Africa
January,2008,South Africa ,West Indies,St George's Park,South Africa ,1,South Africa,West Indies
January,2008,South Africa ,West Indies,SuperSport Park,South Africa ,1,South Africa,West Indies
February,2008,Australia ,Sri Lanka,Sydney Cricket Ground,Australia ,1,Australia,Sri Lanka
February,2008,Australia ,India,Sydney Cricket Ground,Australia ,1,Australia,India
March,2008,Australia ,India,Sydney Cricket Ground,India ,0,Australia,India
August,2008,England ,South Africa,Trent Bridge,England ,1,England,South Africa
February,2008,Australia ,Sri Lanka,WACA Ground,Australia ,1,Australia,Sri Lanka
February,2008,South Africa ,West Indies,Wanderers Stadium,South Africa ,1,South Africa,West Indies
July,2008,West Indies ,Australia,Warner Park,Australia ,0,West Indies,Australia
July,2008,West Indies ,Australia,Warner Park,Australia ,0,West Indies,Australia
February,2008,New Zealand ,England,Westpac Stadium,New Zealand ,1,New Zealand,England
November,2008,South Africa ,Bangladesh,Willowmoore Park,South Africa ,1,South Africa,Bangladesh
October,2008,Bangladesh ,New Zealand,Zahur Ahmed Chowdhury Stadium,New Zealand ,0,Bangladesh,New Zealand
March,2008,Bangladesh ,South Africa,Zahur Ahmed Chowdhury Stadium,South Africa ,0,Bangladesh,South Africa
February,2009,Australia ,New Zealand,Adelaide Oval,Australia ,1,Australia,New Zealand
January,2009,Australia ,South Africa,Adelaide Oval,South Africa ,0,Australia,South Africa
March,2009,New Zealand ,India,AMI Stadium,India ,0,New Zealand,India
January,2009,New Zealand ,West Indies,AMI Stadium,West Indies ,0,New Zealand,West Indies
December,2009,India ,Sri Lanka,Barabati Stadium,India ,1,India,Sri Lanka
January,2009,Australia ,South Africa,Bellerive Oval,Australia ,1,Australia,South Africa
May,2009,England ,West Indies,County Ground ,England ,1,England,West Indies
July,2009,West Indies ,India,Darren Sammy National Cricket Stadium,India ,0,West Indies,India
April,2009,West Indies ,England,Darren Sammy National Cricket Stadium,England ,0,West Indies,England
April,2009,Pakistan ,Australia,Dubai International Cricket Stadium,Australia ,0,Pakistan,Australia
April,2009,Pakistan ,Australia,Dubai International Cricket Stadium,Pakistan ,1,Pakistan,Australia
December,2009,India ,Sri Lanka,Eden Gardens,India ,1,India,Sri Lanka
March,2009,New Zealand ,India,Eden Park,New Zealand ,1,New Zealand,India
May,2009,England ,West Indies,Edgbaston,England ,1,England,West Indies
October,2009,India ,Australia,Feroz Shah Kotla,India ,1,India,Australia
January,2009,Pakistan ,Sri Lanka,Gaddafi Stadium,Sri Lanka ,0,Pakistan,Sri Lanka
September,2009,England ,Australia,Kennington Oval,Australia ,0,England,Australia
March,2009,West Indies ,England,Kensington Oval,West Indies ,1,West Indies,England
March,2009,West Indies ,England,Kensington Oval,England ,0,West Indies,England
April,2009,South Africa ,Australia,Kingsmead,Australia ,0,South Africa,Australia
September,2009,England ,Australia,Lord's,Australia ,0,England,Australia
September,2009,England ,Australia,Lord's,Australia ,0,England,Australia
December,2009,India ,Sri Lanka,Madhavrao Scindia Cricket Ground,India ,1,India,Sri Lanka
March,2009,New Zealand ,India,McLean Park,India ,0,New Zealand,India
January,2009,New Zealand ,West Indies,McLean Park,New Zealand ,1,New Zealand,West Indies
February,2009,Australia ,New Zealand,Melbourne Cricket Ground,New Zealand ,0,Australia,New Zealand
January,2009,Australia ,South Africa,Melbourne Cricket Ground,South Africa ,0,Australia,South Africa
January,2009,Pakistan ,Sri Lanka,National Stadium,Pakistan ,1,Pakistan,Sri Lanka
January,2009,Pakistan ,Sri Lanka,National Stadium,Sri Lanka ,0,Pakistan,Sri Lanka
November,2009,India ,Australia,Nehru Stadium ,Australia ,0,India,Australia
April,2009,South Africa ,Australia,Newlands,South Africa ,1,South Africa,Australia
November,2009,South Africa ,England,Newlands,South Africa ,1,South Africa,England
March,2009,West Indies ,England,Providence Stadium,West Indies ,1,West Indies,England
March,2009,West Indies ,England,Providence Stadium,England ,0,West Indies,England
November,2009,India ,Australia,Punjab Cricket Association IS Bindra Stadium,Australia ,0,India,Australia
January,2009,Sri Lanka ,India,R Premadasa Stadium,India ,0,Sri Lanka,India
February,2009,Sri Lanka ,India,R Premadasa Stadium,India ,0,Sri Lanka,India
February,2009,Sri Lanka ,India,R Premadasa Stadium,India ,0,Sri Lanka,India
September,2009,India ,New Zealand,R Premadasa Stadium,India ,1,India,New Zealand
September,2009,Sri Lanka ,India,R Premadasa Stadium,India ,0,Sri Lanka,India
August,2009,Sri Lanka ,Pakistan,R Premadasa Stadium,Pakistan ,0,Sri Lanka,Pakistan
August,2009,Sri Lanka ,Pakistan,R Premadasa Stadium,Pakistan ,0,Sri Lanka,Pakistan
February,2009,Sri Lanka ,India,R Premadasa Stadium,Sri Lanka ,1,Sri Lanka,India
September,2009,Sri Lanka ,New Zealand,R Premadasa Stadium,Sri Lanka ,1,Sri Lanka,New Zealand
September,2009,Sri Lanka ,India,R Premadasa Stadium,Sri Lanka ,1,Sri Lanka,India
November,2009,India ,Australia,Rajiv Gandhi International Stadium,Australia ,0,India,Australia
January,2009,Sri Lanka ,India,Rangiri Dambulla International Stadium,India ,0,Sri Lanka,India
July,2009,Sri Lanka ,Pakistan,Rangiri Dambulla International Stadium,Sri Lanka ,1,Sri Lanka,Pakistan
July,2009,Sri Lanka ,Pakistan,Rangiri Dambulla International Stadium,Sri Lanka ,1,Sri Lanka,Pakistan
August,2009,Sri Lanka ,Pakistan,Rangiri Dambulla International Stadium,Sri Lanka ,1,Sri Lanka,Pakistan
October,2009,India ,Australia,Reliance Stadium,Australia ,0,India,Australia
September,2009,England ,Australia,Riverside Ground,England ,1,England,Australia
June,2009,West Indies ,India,Sabina Park,India ,0,West Indies,India
June,2009,West Indies ,India,Sabina Park,West Indies ,1,West Indies,India
March,2009,New Zealand ,India,Seddon Park,India ,0,New Zealand,India
April,2009,Pakistan ,Australia,Sheikh Zayed Stadium,Australia ,0,Pakistan,Australia
May,2009,Pakistan ,Australia,Sheikh Zayed Stadium,Australia ,0,Pakistan,Australia
November,2009,Pakistan ,New Zealand,Sheikh Zayed Stadium,New Zealand ,0,Pakistan,New Zealand
November,2009,Pakistan ,New Zealand,Sheikh Zayed Stadium,New Zealand ,0,Pakistan,New Zealand
May,2009,Pakistan ,Australia,Sheikh Zayed Stadium,Pakistan ,1,Pakistan,Australia
November,2009,Pakistan ,New Zealand,Sheikh Zayed Stadium,Pakistan ,1,Pakistan,New Zealand
January,2009,Bangladesh ,Sri Lanka,Shere Bangla National Stadium,Bangladesh ,1,Bangladesh,Sri Lanka
January,2009,Bangladesh ,Sri Lanka,Shere Bangla National Stadium,Sri Lanka ,0,Bangladesh,Sri Lanka
April,2009,South Africa ,Australia,St George's Park,South Africa ,1,South Africa,Australia
November,2009,South Africa ,England,St George's Park,England ,0,South Africa,England
September,2009,Australia ,Pakistan,SuperSport Park,Australia ,1,Australia,Pakistan
October,2009,Australia ,England,SuperSport Park,Australia ,1,Australia,England
October,2009,Australia ,New Zealand,SuperSport Park,Australia ,1,Australia,New Zealand
September,2009,India ,Pakistan,SuperSport Park,Pakistan ,0,India,Pakistan
April,2009,South Africa ,Australia,SuperSport Park,South Africa ,1,South Africa,Australia
September,2009,South Africa ,New Zealand,SuperSport Park,South Africa ,1,South Africa,New Zealand
September,2009,South Africa ,Sri Lanka,SuperSport Park,Sri Lanka ,0,South Africa,Sri Lanka
September,2009,South Africa ,England,SuperSport Park,England ,0,South Africa,England
November,2009,South Africa ,England,SuperSport Park,England ,0,South Africa,England
February,2009,Australia ,New Zealand,Sydney Cricket Ground,Australia ,1,Australia,New Zealand
January,2009,Australia ,South Africa,Sydney Cricket Ground,South Africa ,0,Australia,South Africa
September,2009,England ,Australia,The Rose Bowl,Australia ,0,England,Australia
September,2009,England ,Australia,Trent Bridge,Australia ,0,England,Australia
September,2009,England ,Australia,Trent Bridge,Australia ,0,England,Australia
October,2009,India ,Australia,Vidarbha Cricket Association Stadium,India ,1,India,Australia
December,2009,India ,Sri Lanka,Vidarbha Cricket Association Stadium,Sri Lanka ,0,India,Sri Lanka
February,2009,Australia ,New Zealand,WACA Ground,New Zealand ,0,Australia,New Zealand
January,2009,Australia ,South Africa,WACA Ground,South Africa ,0,Australia,South Africa
April,2009,South Africa ,Australia,Wanderers Stadium,Australia ,0,South Africa,Australia
September,2009,Australia ,West Indies,Wanderers Stadium,Australia ,1,Australia,West Indies
September,2009,India ,West Indies,Wanderers Stadium,India ,1,India,West Indies
September,2009,New Zealand ,Sri Lanka,Wanderers Stadium,New Zealand ,1,New Zealand,Sri Lanka
September,2009,England ,New Zealand,Wanderers Stadium,New Zealand ,0,England,New Zealand
October,2009,New Zealand ,Pakistan,Wanderers Stadium,New Zealand ,1,New Zealand,Pakistan
September,2009,Pakistan ,West Indies,Wanderers Stadium,Pakistan ,1,Pakistan,West Indies
September,2009,England ,Sri Lanka,Wanderers Stadium,England ,1,England,Sri Lanka
July,2009,West Indies ,Bangladesh,Warner Park,Bangladesh ,0,West Indies,Bangladesh
January,2009,New Zealand ,West Indies,Westpac Stadium,New Zealand ,1,New Zealand,West Indies
July,2009,West Indies ,Bangladesh,Windsor Park,Bangladesh ,0,West Indies,Bangladesh
July,2009,West Indies ,Bangladesh,Windsor Park,Bangladesh ,0,West Indies,Bangladesh
January,2010,Australia ,Pakistan,Adelaide Oval,Australia ,1,Australia,Pakistan
February,2010,Australia ,West Indies,Adelaide Oval,Australia ,1,Australia,West Indies
February,2010,New Zealand ,Bangladesh,AMI Stadium,New Zealand ,1,New Zealand,Bangladesh
January,2010,Australia ,Pakistan,Brisbane Cricket Ground,Australia ,1,Australia,Pakistan
February,2010,Australia ,West Indies,Brisbane Cricket Ground,Australia ,1,Australia,West Indies
November,2010,Australia ,Sri Lanka,Brisbane Cricket Ground,Australia ,1,Australia,Sri Lanka
February,2010,India ,South Africa,Captain Roop Singh Stadium,India ,1,India,South Africa
July,2010,England ,Bangladesh,County Ground ,Bangladesh ,0,England,Bangladesh
October,2010,India ,Australia,Dr YS Rajasekhara Reddy Cricket Stadium,India ,1,India,Australia
November,2010,Pakistan ,South Africa,Dubai International Cricket Stadium,Pakistan ,1,Pakistan,South Africa
November,2010,Pakistan ,South Africa,Dubai International Cricket Stadium,South Africa ,0,Pakistan,South Africa
November,2010,Pakistan ,South Africa,Dubai International Cricket Stadium,South Africa ,0,Pakistan,South Africa
March,2010,New Zealand ,Australia,Eden Park,Australia ,0,New Zealand,Australia
March,2010,New Zealand ,Australia,Eden Park,Australia ,0,New Zealand,Australia
July,2010,England ,Bangladesh,Edgbaston,England ,1,England,Bangladesh
June,2010,India ,Sri Lanka,Harare Sports Club,Sri Lanka ,0,India,Sri Lanka
September,2010,England ,Pakistan,Headingley,England ,1,England,Pakistan
June,2010,England ,Australia,Kennington Oval,Australia ,0,England,Australia
September,2010,England ,Pakistan,Kennington Oval,Pakistan ,0,England,Pakistan
July,2010,England ,Australia,Lord's,Australia ,0,England,Australia
September,2010,England ,Pakistan,Lord's,Pakistan ,0,England,Pakistan
December,2010,India ,New Zealand,M Chinnaswamy Stadium,India ,1,India,New Zealand
December,2010,India ,New Zealand,MA Chidambaram Stadium,India ,1,India,New Zealand
February,2010,New Zealand ,Bangladesh,McLean Park,New Zealand ,1,New Zealand,Bangladesh
March,2010,New Zealand ,Australia,McLean Park,New Zealand ,1,New Zealand,Australia
February,2010,Australia ,West Indies,Melbourne Cricket Ground,Australia ,1,Australia,West Indies
February,2010,Australia ,West Indies,Melbourne Cricket Ground,Australia ,1,Australia,West Indies
November,2010,Australia ,Sri Lanka,Melbourne Cricket Ground,Sri Lanka ,0,Australia,Sri Lanka
November,2010,India ,New Zealand,Nehru Stadium ,India ,1,India,New Zealand
June,2010,England ,Australia,Old Trafford,England ,1,England,Australia
June,2010,West Indies ,South Africa,Queen's Park Oval,South Africa ,0,West Indies,South Africa
May,2010,India ,Sri Lanka,Queens Sports Club,India ,1,India,Sri Lanka
June,2010,Bangladesh ,India,Rangiri Dambulla International Stadium,India ,0,Bangladesh,India
June,2010,India ,Pakistan,Rangiri Dambulla International Stadium,India ,1,India,Pakistan
June,2010,Sri Lanka ,India,Rangiri Dambulla International Stadium,India ,0,Sri Lanka,India
August,2010,Sri Lanka ,India,Rangiri Dambulla International Stadium,India ,0,Sri Lanka,India
August,2010,India ,New Zealand,Rangiri Dambulla International Stadium,India ,1,India,New Zealand
August,2010,India ,New Zealand,Rangiri Dambulla International Stadium,New Zealand ,0,India,New Zealand
June,2010,Bangladesh ,Pakistan,Rangiri Dambulla International Stadium,Pakistan ,0,Bangladesh,Pakistan
June,2010,Sri Lanka ,Pakistan,Rangiri Dambulla International Stadium,Sri Lanka ,1,Sri Lanka,Pakistan
June,2010,Sri Lanka ,Bangladesh,Rangiri Dambulla International Stadium,Sri Lanka ,1,Sri Lanka,Bangladesh
June,2010,Sri Lanka ,India,Rangiri Dambulla International Stadium,Sri Lanka ,1,Sri Lanka,India
August,2010,Sri Lanka ,New Zealand,Rangiri Dambulla International Stadium,Sri Lanka ,1,Sri Lanka,New Zealand
August,2010,Sri Lanka ,India,Rangiri Dambulla International Stadium,Sri Lanka ,1,Sri Lanka,India
August,2010,Sri Lanka ,India,Rangiri Dambulla International Stadium,Sri Lanka ,1,Sri Lanka,India
December,2010,India ,New Zealand,Reliance Stadium,India ,1,India,New Zealand
September,2010,England ,Pakistan,Riverside Ground,England ,1,England,Pakistan
February,2010,India ,South Africa,Sardar Patel Stadium,South Africa ,0,India,South Africa
February,2010,India ,South Africa,Sawai Mansingh Stadium,India ,1,India,South Africa
December,2010,India ,New Zealand,Sawai Mansingh Stadium,India ,1,India,New Zealand
March,2010,New Zealand ,Australia,Seddon Park,Australia ,0,New Zealand,Australia
October,2010,Pakistan ,South Africa,Sheikh Zayed Stadium,Pakistan ,1,Pakistan,South Africa
October,2010,Pakistan ,South Africa,Sheikh Zayed Stadium,South Africa ,0,Pakistan,South Africa
October,2010,Bangladesh ,New Zealand,Shere Bangla National Stadium,Bangladesh ,1,Bangladesh,New Zealand
October,2010,Bangladesh ,New Zealand,Shere Bangla National Stadium,Bangladesh ,1,Bangladesh,New Zealand
October,2010,Bangladesh ,New Zealand,Shere Bangla National Stadium,Bangladesh ,1,Bangladesh,New Zealand
October,2010,Bangladesh ,New Zealand,Shere Bangla National Stadium,Bangladesh ,1,Bangladesh,New Zealand
January,2010,Bangladesh ,India,Shere Bangla National Stadium,India ,0,Bangladesh,India
January,2010,India ,Sri Lanka,Shere Bangla National Stadium,India ,1,India,Sri Lanka
January,2010,Bangladesh ,India,Shere Bangla National Stadium,India ,0,Bangladesh,India
January,2010,Bangladesh ,Sri Lanka,Shere Bangla National Stadium,Sri Lanka ,0,Bangladesh,Sri Lanka
January,2010,India ,Sri Lanka,Shere Bangla National Stadium,Sri Lanka ,0,India,Sri Lanka
January,2010,Bangladesh ,Sri Lanka,Shere Bangla National Stadium,Sri Lanka ,0,Bangladesh,Sri Lanka
January,2010,India ,Sri Lanka,Shere Bangla National Stadium,Sri Lanka ,0,India,Sri Lanka
